,City,Country,Date,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
374,Urengoy,RU,1548977810,-51.66,0,0,3.6,65.96,78.37
375,Dunmore Town,BS,1548977810,72.05,100,80,19.15,25.5,-76.65
376,Westport,NZ,1548977811,64.27,99,100,5.06,-41.75,171.6
377,Gamba,GA,1548977811,77.32,100,80,3.94,-2.72,10.02
378,Swanton,US,1548976560,6.08,49,1,4.7,41.59,-83.89
379,Pevek,RU,1548977602,-13.99,86,36,8.41,69.7,170.27
380,Voh,NC,1548977811,78.98,99,64,19.15,-20.95,164.69
381,Maturin,VE,1548977517,82.63,48,0,8.97,9.75,-63.18
382,Beringovskiy,RU,1548977669,22.73,93,88,20.94,63.05,179.32
383,Luklukan,PH,1548977812,77.45,100,56,20.71,14.33,122.71
384,Puerto del Rosario,ES,1548975600,64.4,59,75,9.17,28.5,-13.86
385,Pithora,IN,1548977813,47.66,77,0,2.26,21.25,82.52
386,Ucluelet,CA,1548975600,44.6,93,90,9.17,48.94,-125.55
387,Kota Kinabalu,MY,1548975600,77,88,75,3.36,5.98,116.07
388,Bonthe,SL,1548977814,78.94,84,0,5.06,7.53,-12.5
389,Umm Kaddadah,SD,1548977814,63.46,39,0,12.21,13.6,26.69
390,Alofi,NU,1548975600,77,94,75,6.93,-19.06,-169.92
391,Vryheid,ZA,1548977815,59.54,89,48,1.92,-27.77,30.79
392,San Antonio,CL,1548975600,64.4,72,0,8.05,-33.58,-71.61
393,Lokosovo,RU,1548977816,-45.36,0,0,2.93,61.13,74.84
394,Auki,SB,1548977816,84.2,96,8,6.73,-8.77,160.7
395,Sangar,RU,1548977816,-41.22,91,44,3.15,63.92,127.47
396,Guayaramerin,BO,1548977816,80.38,85,88,1.7,-10.82,-65.36
397,Senhor do Bonfim,BR,1548977817,79.79,51,0,10.76,-10.46,-40.19
398,Yanam,IN,1548977817,69.35,81,48,6.4,16.73,82.22
399,Saldanha,ZA,1548972000,73.4,56,0,5.82,-33.01,17.94
400,Cerrito,PY,1548977818,78.89,83,12,2.26,-25.87,-56.87
401,Gunjur,GM,1548975600,68,72,0,6.93,13.18,-16.76
402,Yenagoa,NG,1548977819,74.71,93,0,5.39,4.92,6.26
403,Port Blair,IN,1548977819,82.58,99,88,13.89,11.67,92.75
404,Kodinsk,RU,1548977820,-25.87,39,12,6.06,58.6,99.18
405,Arawa,PG,1548977820,83.17,98,56,1.59,-6.23,155.57
406,Ust-Tsilma,RU,1548977820,4.51,79,88,8.19,65.44,52.15
407,Dourbali,TD,1548977597,67.06,27,0,9.98,11.81,15.86
408,Manado,ID,1548975600,75.2,94,75,4.7,1.49,124.85
409,San Vicente,PH,1548977821,77.45,100,56,20.71,14.11,122.87
410,Ussel,FR,1548977822,38.66,95,80,11.43,45.55,2.31
411,Broome,AU,1548975600,86,79,40,10.29,-17.97,122.23
412,Kavieng,PG,1548977823,85.06,99,24,6.4,-2.57,150.8
413,Eureka,US,1548975300,62.6,69,1,4.7,40.8,-124.16
414,Cairns,AU,1548976560,80.6,94,75,6.93,-16.92,145.77
415,Umm Lajj,SA,1548977824,56.53,100,0,8.63,25.02,37.27
416,Ukiah,US,1548975360,66.02,46,1,5.82,39.15,-123.21
417,Znamenskoye,RU,1548977824,-29.61,49,36,3.83,57.13,73.82
418,Toumodi,CI,1548975600,77,88,0,4.7,6.56,-5.02
419,Portobelo,PA,1548975600,80.6,69,40,11.41,9.55,-79.65
420,Brodokalmak,RU,1548975600,3.2,84,90,8.95,55.57,62.07
421,Half Moon Bay,US,1548975600,64.04,82,1,6.93,37.46,-122.43
422,Salinopolis,BR,1548977750,79.84,100,32,12.21,-0.61,-47.36
423,San Patricio,MX,1548974400,82.4,69,40,11.41,19.22,-104.7
424,Brae,GB,1548976800,37.4,93,88,10.29,60.4,-1.35
425,Knysna,ZA,1548975600,66.2,88,32,13.87,-34.04,23.05
426,Ciuperceni,RO,1548977827,26.96,100,24,1.92,44.94,23.01
427,Constitucion,CL,1548977827,63.23,77,0,13.33,-35.33,-72.42
428,Rio Grande,BR,1548977712,75.83,100,80,5.39,-32.03,-52.1
429,Vangaindrano,MG,1548977828,71.24,100,92,3.15,-23.35,47.6
430,Makakilo City,US,1548975420,78.08,59,75,14.99,21.35,-158.09
431,Am Timan,TD,1548977828,73.72,40,0,8.75,11.04,20.28
432,San Jose,BO,1548975600,75.2,83,40,11.41,-17.94,-63.35
433,Sungaipenuh,ID,1548977829,66.79,98,92,1.14,-2.08,101.38
434,Ancud,CL,1548975600,59,82,90,11.41,-41.87,-73.83
435,Vanimo,PG,1548977829,84.34,96,56,16.35,-2.67,141.3
436,Camapua,BR,1548977830,81.86,62,48,3.04,-19.53,-54.04
437,Chabahar,IR,1548977830,68.68,100,0,7.74,25.29,60.65
438,Vila do Maio,CV,1548975600,69.8,73,75,21.92,15.13,-23.22
439,Dandong,CN,1548977831,2.3,58,0,2.71,40.12,124.37
440,Turan,RU,1548977831,-12.1,66,68,2.37,52.15,93.92
441,Acucena,BR,1548972000,82.4,58,0,4.7,-19.07,-42.55
442,Merauke,ID,1548977673,79.79,100,100,17.58,-8.49,140.4
443,Mirabad,AF,1548977832,34.7,78,0,2.71,30.44,61.84
444,Valenca do Piaui,BR,1548977834,81.41,57,88,7.63,-6.41,-41.75
445,Poronaysk,RU,1548977834,10.99,74,68,16.46,49.22,143.1
446,Pryluky,UA,1548977834,33.71,96,76,10.31,50.6,32.39
447,Beidao,CN,1548977758,12.74,96,8,4.16,34.57,105.89
448,Te Anau,NZ,1548977835,54.14,64,32,9.42,-45.41,167.72
449,Pozzuoli,IT,1548976800,51.8,100,75,9.17,40.82,14.12
450,Okahandja,NA,1548975600,71.6,56,80,4.7,-21.98,16.91
451,Waingapu,ID,1548977836,76.19,97,88,8.63,-9.65,120.26
452,Barranca,PE,1548977836,73.4,100,24,7.4,-10.75,-77.76
453,Liverpool,CA,1548977836,22.69,100,36,21.05,44.04,-64.71
454,Muyezerskiy,RU,1548977837,11.03,84,76,3.94,63.93,31.65
455,Salalah,OM,1548975000,71.6,78,0,3.36,17.01,54.1
456,Houlton,US,1548975360,1.04,61,75,5.82,46.13,-67.84
457,Gallup,US,1548975180,53.06,29,1,4.7,35.53,-108.74
458,Ajdabiya,LY,1548977838,44.74,78,0,6.29,30.75,20.22
459,Parkhill,CA,1548975600,3.2,59,20,12.75,43.16,-81.68
460,Champerico,GT,1548975600,86,51,75,6.93,14.3,-91.92
461,Paamiut,GL,1548977839,25.7,100,68,20.49,61.99,-49.67
462,Port Hedland,AU,1548975600,84.2,79,0,11.41,-20.31,118.58
463,Kloulklubed,PW,1548975000,77,94,90,5.82,7.04,134.26
464,Tilichiki,RU,1548977840,15.26,78,88,15.57,60.47,166.1
465,Boromo,BF,1548977840,69.35,50,0,4.5,11.74,-2.93
466,Kambove,CD,1548977841,63.28,99,92,2.71,-10.88,26.6
467,Sao Felix do Xingu,BR,1548977841,78.53,89,32,2.82,-6.64,-51.99
468,Zatoka,UA,1548975600,32,95,90,4.47,49.85,23.68
469,Uyemskiy,RU,1548975600,21.2,92,75,6.71,64.47,40.85
470,Filingue,NE,1548977842,60.44,57,0,3.49,14.35,3.32
471,Wanning,CN,1548977842,69.89,100,92,15.35,18.8,110.4
472,Oshikango,NA,1548975600,77,73,12,4.7,-17.39,15.89
473,Moroto,UG,1548977843,59.86,80,0,4.83,2.53,34.66
474,Neuquen,AR,1548975600,89.6,17,0,11.41,-38.95,-68.06
475,Sindou,BF,1548977843,71.51,47,8,4.5,10.66,-5.16
476,Panguna,PG,1548977844,83.75,83,32,2.82,-6.32,155.48
477,Sambava,MG,1548977717,80.06,100,68,17.81,-14.27,50.17
478,Ixtapa,MX,1548974700,78.8,74,90,10.29,20.71,-105.21
479,Srednekolymsk,RU,1548977721,-36.4,71,24,3.71,67.46,153.71
480,Vostok,RU,1548977594,-5.49,39,0,4.72,46.45,135.83
481,Belyy Yar,RU,1548975600,-14.81,68,40,11.18,53.6,91.39
482,Korla,CN,1548977845,0.23,84,24,2.59,41.76,86.15
483,Smithers,CA,1548975600,30.2,100,90,2.37,54.78,-127.17
484,Leh,IN,1548977560,-19.84,51,44,1.36,34.16,77.58
485,Stephenville,CA,1548975600,15.8,52,75,27.51,48.55,-58.59
486,Wynyard,CA,1548977846,9.59,78,76,3.71,51.77,-104.18
487,Maniitsoq,GL,1548977713,4.69,100,0,8.75,65.42,-52.9
488,Belo Jardim,BR,1548977847,73.27,77,24,8.63,-8.33,-36.42
489,Jasper,CA,1548977847,29.84,90,92,1.7,52.88,-118.08
490,Lunglei,IN,1548977847,49.01,89,0,2.59,22.89,92.75
491,Nguru,NG,1548977848,62.11,32,0,8.52,12.88,10.45
492,Meulaboh,ID,1548977848,76.87,100,76,4.94,4.14,96.13
493,Kutum,SD,1548977848,58.91,41,0,8.41,14.2,24.66
494,Nabire,ID,1548977849,77.41,81,20,2.15,-3.36,135.5
495,Phuket,TH,1548975600,75.2,83,20,5.82,7.89,98.4
496,Tautira,PF,1548975600,86,70,75,14.99,-17.73,-149.15
497,Nuevo Progreso,MX,1548977850,75.79,75,88,3.94,17.14,-95.05
498,Sarakhs,IR,1548975600,39.2,93,0,2.24,36.54,61.16
499,Mayo,CA,1548975600,-9.41,63,40,2.24,63.59,-135.9
500,Walvis Bay,NA,1548975600,60.8,87,0,9.17,-22.95,14.51
501,Kenai,US,1548975360,28.94,95,90,3.36,60.55,-151.26
502,Dolzhanskaya,RU,1548977851,33.67,80,24,15.79,46.63,37.8
503,Trairi,BR,1548977851,79.93,100,32,11.54,-3.28,-39.27
504,Groton,US,1548975360,17.96,35,1,12.75,41.35,-72.08
505,Marietta,US,1548976500,50,31,20,6.93,33.95,-84.55
506,Imeni Poliny Osipenko,RU,1548977852,-2.88,73,36,2.93,52.42,136.49
507,Allapalli,IN,1548977852,55.13,88,0,3.04,19.43,80.06
508,Ostrovnoy,RU,1548977853,8.11,88,88,8.97,68.05,39.51
509,Erenhot,CN,1548977853,7.34,41,0,15.68,43.65,111.97
510,Oxford,CA,1548977853,13.96,51,56,9.53,45.73,-63.86
511,Lichtenburg,ZA,1548977854,63.64,92,92,4.94,-26.15,26.16
512,Denizli,TR,1548977100,33.8,100,75,4.7,37.77,29.09
513,Kahului,US,1548975240,69.98,90,75,24.16,20.89,-156.47
514,Casalpusterlengo,IT,1548976800,37.4,100,75,4.7,45.18,9.65
515,Wencheng,CN,1548977855,38.03,85,56,2.15,27.79,120.09
516,Po,BF,1548977855,69.04,49,0,2.93,11.17,-1.15
517,Tostedt,DE,1548976800,32,90,0,6.93,53.28,9.71
518,Abha,SA,1548975600,59,62,0,6.93,18.22,42.5
519,Pretoria,ZA,1548975600,71.6,68,12,2.59,-25.75,28.19
520,Mount Isa,AU,1548975600,77,100,90,8.05,-20.73,139.49
521,Broken Hill,AU,1548975600,69.8,35,0,19.46,-31.97,141.45
522,Samarai,PG,1548977857,84.29,100,24,9.64,-10.62,150.67
523,Mabaruma,GY,1548977719,78.89,77,68,6.17,8.2,-59.78
524,Harlingen,NL,1548977280,35.6,92,40,6.93,53.18,5.41
525,Murray Bridge,AU,1548977858,65.48,85,0,12.21,-35.12,139.28
526,Kopavogur,IS,1548975600,26.6,67,0,5.82,64.11,-21.91
527,Kuala Terengganu,MY,1548975600,77,94,75,4.05,5.33,103.14
528,Grindavik,IS,1548975600,26.6,73,20,23.04,63.84,-22.43
529,Zyryanka,RU,1548977859,-34.74,65,76,3.15,65.73,150.89
530,Astoria,US,1548975300,51.98,68,75,8.05,46.19,-123.83
531,Arbagar,RU,1548977859,-11.88,71,56,3.15,51.94,116.28
532,Bossangoa,CF,1548977859,72.91,38,48,4.72,6.5,17.45
533,Bacolod,PH,1548977860,76.46,76,32,12.77,10.68,122.95
534,Sorland,NO,1548977860,37.94,100,68,9.75,67.67,12.69
535,Makokou,GA,1548977860,72.37,99,8,2.37,0.56,12.85
536,Margate,ZA,1548977860,72.14,97,92,16.69,-30.86,30.37
537,Lethem,GY,1548977861,86.23,53,12,15.01,3.38,-59.8
538,High Rock,BS,1548977861,70.03,100,68,21.16,26.63,-78.28
539,Nata,BW,1548977861,76.06,40,36,9.64,-20.21,26.19
540,Garh Maharaja,PK,1548977862,43.03,91,0,4.16,30.83,71.9
541,Pangkalanbuun,ID,1548977862,75.97,96,56,4.16,-2.68,111.62
542,La Ronge,CA,1548975600,-0.41,77,90,2.59,55.1,-105.3
543,Amga,RU,1548977864,-29.7,47,44,3.38,60.89,131.98
544,Zhigansk,RU,1548977864,-45.54,0,0,8.41,66.77,123.37
545,Kananga,CD,1548977864,70.66,96,92,2.82,-5.9,22.41
546,Acapulco,MX,1548974520,84.2,58,5,9.17,16.86,-99.88
547,Novozavidovskiy,RU,1548977865,30.88,99,92,7.63,56.55,36.43
548,Pangnirtung,CA,1548975600,5,54,75,10.29,66.15,-65.72
549,Tokur,RU,1548977865,-12.78,73,48,3.04,53.13,132.9
550,Rayagada,IN,1548977865,44.74,86,0,1.25,19.17,83.42
551,Kajaani,FI,1548976800,1.4,84,90,2.24,64.22,27.73
552,Aketi,CD,1548977866,71.92,94,68,2.71,2.74,23.78
553,Puerto Baquerizo Moreno,EC,1548975600,82.4,78,40,4.7,-0.9,-89.6
554,Taunggyi,MM,1548977866,43.21,83,0,2.15,20.78,97.03
555,Palmer,US,1548975540,28.94,88,90,3.36,61.6,-149.11
556,Katunino,RU,1548975600,21.2,92,75,6.71,64.39,40.63
557,Lana,IT,1548975300,19.4,85,90,23.04,46.61,11.16
558,Pamplona,ES,1548975600,50,100,75,3.36,42.82,-1.64
559,Kaeo,NZ,1548977868,76.28,62,20,4.61,-35.1,173.78
560,Kushima,JP,1548975600,44.6,56,20,16.11,31.5,131.29
561,Qaqortoq,GL,1548975000,19.4,52,68,1.12,60.72,-46.03
562,Saint-Leu,RE,1548975600,78.8,78,0,19.46,-21.15,55.28
563,Siavonga,ZM,1548977869,72.73,88,0,3.38,-16.54,28.71
564,Runcu,RO,1548975600,39.2,93,75,8.05,44.59,26.21
565,Altay,CN,1548977870,-4.5,74,68,2.04,47.83,88.13
566,Gabu,GW,1548977870,72.28,44,0,4.16,12.28,-14.22
567,Seymchan,RU,1548977870,-26.64,40,64,4.61,62.93,152.39
568,Alihe,CN,1548977871,-11.52,70,64,2.59,50.57,123.73
569,Puerto Narino,CO,1548975600,75.2,100,75,2.24,-3.77,-70.38
570,Karpathos,GR,1548976800,57.2,62,0,21.92,35.51,27.21
571,Iida,JP,1548977872,21.83,71,0,2.04,35.45,137.9
572,Zhaozhou,CN,1548977872,-0.09,64,20,3.04,45.71,125.27
573,Takoradi,GH,1548977872,80.56,100,0,3.94,4.89,-1.75
574,Ballina,IE,1548977873,32.86,100,44,17.25,54.11,-9.15
575,Dondo,MZ,1548977873,76.33,89,0,3.94,-19.62,34.74
576,Dauphin,CA,1548976440,-5.81,70,90,3.36,51.15,-100.04
577,Ballinasloe,IE,1548977874,35.06,85,68,21.61,53.33,-8.22
578,Kosonsoy,UZ,1548975600,37.4,93,90,2.26,41.25,71.55
579,Bezhetsk,RU,1548977874,23.41,98,92,7.96,57.78,36.69
580,Ferme-Neuve,CA,1548977876,-4.23,51,36,8.52,46.7,-75.45
581,Yakeshi,CN,1548977876,-5.8,78,0,7.4,49.28,120.73
582,Starokucherganovka,RU,1548975600,26.6,86,90,11.18,46.32,47.96
583,Taoudenni,ML,1548977877,47.62,50,0,4.16,22.68,-3.98
